,count(48)
御主意ニ相振候御趣之事,1
書幷右御礼申上配方之事,1
天保五午年三月十一日写,1
仍而奥書仕指上申候以上,1
済ゟ御指戻可被成候以上,1
右株々御下知奉伺上候事,1
越久田平兵衛殿指上申候,1
御案内書相認メ申上候事,1
○【朱】十一　御趣意書,1
寅十二月十日被仰渡書写,1
牽馬町方御取究御触書写,1
召上格段厳布御取約も被,1
之御仕送ニ有之所近く者,1
畳刺　　　　　弐匁七分,1
木挽　　　　　弐匁壱分,1
杮師　　　　　弐匁七分,1
萱葺師　　　　弐匁七分,1
御年寄ゟ相渡候御書付写,1
迄之通外場處ニ而仕候事,1
サイ　ヲホシ　ナカルヽ,1
ヒルカヘル　　ツタハル,1
御道筋書記為触知候ニ付,1
御趣意も有之當御役儀被,1
西御丸穂積恰蒙　仰候事,1
かへし袖口しまちりめん,1
一銀かんさし　　　壱本,1
一同かんさし　　　壱本,1
都而人指を以下ゟ役義筋,1
候者も有之哉之風聞之事,1
申付候条右様可相心得候,1
可被申聞旨本〆中申達事,1
之節諸入目何程位相懸り,1
二月六日　　　　　郡方,1
【末尾三行は次コマ分】,1
のため御申継仕置可申事,1
一高懸格懸り銀拝借之分,1
右様御心得可被成候以上,1
嘉永七寅年十一月十七日,1
役人共へも同様可申付事,1
相見計打廻候様申付候事,1
東條勘左衛門へ御渡成候,1
止宿川渉等も可為同様候,1
御制服被仰渡御趣意書写,1
与頭庄屋共へ申渡演説書,1
與頭庄屋共へ申渡演説書,1
頭壱人ニ付壱匁三分四厘,1
内魚町戸村屋儀右衛門方,1
相添袋入ニシテ差出候事,1
